AMD E-450,722
Intel Celeron 1005M,1806
Intel Xeon L5639,1809
AMD Athlon 64 X2 TK-55,785
AMD Athlon 64 X2 TK-57,857
Intel Atom x5-Z8500,1007
Intel Pentium E5500,1539
Intel Core i3-3227U,1817
Intel Core i5-460M,1756
Intel Core 2 Duo T7700,1384
Intel Pentium D 805,736
Intel Core i5-3475S,3406
AMD Athlon 64 X2 5600+,1282
Intel Xeon L5640,2209
Intel Core i7-4850HQ,3594
Intel Core 2 Quad Q9505,1810
Intel Core i3-6098P,3960
Intel Core 2 Quad Q9500,1839
Intel Core 2 Duo U7500,742
AMD Ryzen Threadripper 1920X,4247
Intel Xeon E3110,1912
Intel Core i3-2357M,1307
Intel Core i3-4150,3641
Intel Xeon E5530,2074
Intel Core i7-4790T,3950
Intel Core i5-4300U,2866
Intel Core i7-4790S,4096
Intel Xeon E5-2686 v4,3096
Intel Xeon E5-2686 v3,3478
Intel Core i7-2675QM,2646
Intel Core 2 Extreme X9770,2327
AMD A10-7850K,2409
AMD FX-9800P,1958
Intel Core i5-4300M,3343
AMD Athlon 5150,963
AMD A4-6300,2029
Intel Xeon E3-1225,3156
Intel Core 2 Duo E4400,1140
AMD Athlon II X2 215,1524
Intel Core i5-3450S,3423
Intel Core i5-4300Y,2372
AMD Phenom II X4 945,1876
Intel Core i3-6320,4601
Intel Xeon E3-1220,3003
Intel Xeon E5-2640 v2,2001
Intel Core 2 Quad Q8400,1685
Intel Core i7-4790K,4894
Intel Xeon E5-2640 v3,3325
Intel Xeon E5520,1959
Intel Xeon E5-2640 v4,3358
Intel Xeon E5-2687W v2,3491
Intel Core i3-2310M,1896
AMD A10-8700P,1698
AMD Athlon 64 X2 4400+,1079
AMD A4-3305M,1228
Intel Xeon E5507,1830
Intel Xeon E5-2687W v4,3764
Intel Xeon E5506,1641
Intel Xeon E5-2687W v3,3457
Intel Core i3-3229Y,1400
AMD FX-7600P,1894
Intel Core i7-2760QM,2929
Intel Core i7-6920HQ,4321
AMD Phenom II X4 955 Black Edition,1986
Intel Core i7-7600U,4360
Intel Core 2 Duo T5500,957
Intel Xeon E3-1235,3197
AMD Phenom X4 9950,1476
AMD Athlon II X2 220,1594
Intel Core i5-3340S,3167
Intel Pentium 4 540/541,840
Intel Core i3-4170,3872
Intel Xeon E3-1230,3230
Intel Core i5-3340M,2971
AMD Phenom II X4 905e,1644
AMD Phenom II X2 550 Black Edition,1905
Intel Celeron M ULV 743,853
AMD Athlon X4 845,2497
AMD A6-5400K,1964
AMD Athlon II X2 4450e,1709
Intel Celeron E1400,996
AMD Athlon X4 840,2310
Intel Core 2 Duo T5750,1103
Intel Celeron 3205U,1593
Intel Pentium E6600,1815
AMD A6-5400B,2045
AMD Athlon 5370,1254
Intel Pentium T4400,1223
Intel Core 2 Duo T6600,1283
Intel Pentium G3220T,2315
Intel Core i7-2960XM,2985
Intel Core i3-4160,3762
Intel Xeon E5504,1624
Intel Core i3-6100,4274
Intel Xeon E3-1240,3238
Intel Core i5-3230M,2819
Intel Xeon E3-1245,3354
AMD FX-4300,2358
Intel Core i5-5675C,4868
Intel Core i5-4258U,3085
AMD FX-4330,2584
AMD A6-9210,1670
Intel Core i5-4670S,3231
