AMD E-450,1145
Intel Celeron 1005M,2912
Intel Xeon L5639,11974
AMD Athlon 64 X2 TK-55,1185
AMD Athlon 64 X2 TK-57,1321
Intel Atom x5-Z8500,2731
Intel Pentium E5500,2369
Intel Core i3-3227U,3439
Intel Core i5-460M,3321
Intel Core 2 Duo T7700,2219
Intel Pentium D 805,1088
Intel Core i5-3475S,9523
AMD Athlon 64 X2 5600+,2008
Intel Xeon L5640,10142
Intel Core i7-4850HQ,11719
Intel Core 2 Quad Q9505,4953
Intel Core i3-6098P,7425
Intel Core 2 Quad Q9500,5060
Intel Core 2 Duo U7500,1137
AMD Ryzen Threadripper 1920X,25194
Intel Xeon E3110,3127
Intel Core i3-2357M,2511
Intel Xeon E5530,8016
Intel Core i3-4150,6721
Intel Core i7-4790T,11488
Intel Core i5-4300U,5203
Intel Xeon E5-2686 v4,18238
Intel Core i7-4790S,12712
Intel Xeon E5-2686 v3,24845
Intel Core i7-2675QM,7792
Intel Core 2 Extreme X9770,6596
AMD A10-7850K,6011
AMD FX-9800P,4498
Intel Core i5-4300M,6225
AMD Athlon 5150,2574
AMD A4-6300,2875
Intel Xeon E3-1225,8776
Intel Core 2 Duo E4400,1776
AMD Athlon II X2 215,2527
Intel Core i5-3450S,9381
AMD Phenom II X4 945,5359
Intel Core i5-4300Y,3941
Intel Core i3-6320,8849
Intel Xeon E5-2640 v2,13471
Intel Xeon E3-1220,8992
Intel Core 2 Quad Q8400,4456
Intel Xeon E5-2640 v3,17755
Intel Core i7-4790K,15568
Intel Xeon E5520,6902
Intel Xeon E5-2640 v4,20022
Intel Xeon E5-2687W v2,23650
Intel Core i3-2310M,3552
AMD A10-8700P,3882
AMD Athlon 64 X2 4400+,1805
AMD A4-3305M,1922
Intel Xeon E5507,5260
Intel Xeon E5-2687W v4,28762
Intel Xeon E5506,4651
Intel Xeon E5-2687W v3,24361
Intel Core i3-3229Y,2658
AMD FX-7600P,4419
Intel Core i7-2760QM,8716
