AMD E-450,S1 2011
Intel Celeron 1005M,S1 2013
Intel Xeon L5639,S1 2013
AMD Athlon 64 X2 TK-55,S1 2010
AMD Athlon 64 X2 TK-57,S1 2010
Intel Atom x5-Z8500,S1 2015
Intel Pentium E5500,S1 2010
Intel Core i3-3227U,S1 2013
Intel Core i5-460M,S1 2010
Intel Core 2 Duo T7700,S2 2008
Intel Pentium D 805,S2 2008
Intel Core i5-3475S,S1 2012
AMD Athlon 64 X2 5600+,S2 2008
Intel Xeon L5640,S1 2010
Intel Core i7-4850HQ,S1 2013
Intel Core 2 Quad Q9505,S2 2009
Intel Core i3-6098P,S1 2016
Intel Core 2 Quad Q9500,S1 2010
Intel Core 2 Duo U7500,S1 2009
AMD Ryzen Threadripper 1920X,S1 2017
Intel Xeon E3110,S2 2008
Intel Core i3-2357M,S1 2011
Intel Xeon E5530,S1 2009
Intel Core i3-4150,S1 2014
Intel Core i7-4790T,S1 2014
Intel Core i5-4300U,S1 2013
Intel Xeon E5-2686 v4,S2 2016
Intel Core i7-4790S,S1 2014
Intel Xeon E5-2686 v3,S1 2015
Intel Core i7-2675QM,S1 2011
Intel Core 2 Extreme X9770,S2 2008
AMD A10-7850K,S1 2014
AMD FX-9800P,S1 2016
Intel Core i5-4300M,S1 2013
AMD Athlon 5150,S1 2014
AMD A4-6300,S2 2013
Intel Xeon E3-1225,S1 2017
Intel Core 2 Duo E4400,S2 2008
AMD Athlon II X2 215,S1 2009
Intel Core i5-3450S,S1 2012
AMD Phenom II X4 945,S1 2009
Intel Core i5-4300Y,S1 2013
Intel Core i3-6320,S2 2015
Intel Xeon E5-2640 v2,S1 2014
Intel Xeon E3-1220,S2 2017
Intel Core 2 Quad Q8400,S1 2009
Intel Xeon E5-2640 v3,S1 2014
Intel Core i7-4790K,S1 2014
Intel Xeon E5520,S1 2009
Intel Xeon E5-2640 v4,S1 2016
Intel Xeon E5-2687W v2,S1 2013
Intel Core i3-2310M,S1 2011
AMD A10-8700P,S1 2015
AMD Athlon 64 X2 4400+,S1 2005
AMD A4-3305M,S1 2012
Intel Xeon E5507,S1 2010
Intel Xeon E5-2687W v4,S1 2016
Intel Xeon E5506,S1 2009
Intel Xeon E5-2687W v3,S2 2014
Intel Core i3-3229Y,S1 2013
AMD FX-7600P,S2 2014
Intel Core i7-2760QM,S1 2011
Intel Core i7-6920HQ,S1 2016
AMD Phenom II X4 955 Black Edition,S1 2009
Intel Core i7-7600U,S1 2017
Intel Core 2 Duo T5500,S2 2006
Intel Xeon E3-1235,S1 2011
AMD Phenom X4 9950,S2 2008
AMD Athlon II X2 220,S1 2010
Intel Core i5-3340S,S2 2013
Intel Pentium 4 540/541,S1 2004
Intel Core i3-4170,S1 2015
Intel Xeon E3-1230,S1 2017
Intel Core i5-3340M,S1 2013
AMD Phenom II X4 905e,S1 2009
AMD Phenom II X2 550 Black Edition,S1 2009
Intel Celeron M ULV 743,S2 2009
AMD Athlon X4 845,S1 2016
AMD A6-5400K,S2 2012
AMD Athlon II X2 4450e,S1 2010
Intel Celeron E1400,S1 2009
AMD Athlon X4 840,S1 2015
Intel Core 2 Duo T5750,S2 2008
Intel Celeron 3205U,S1 2015
Intel Pentium E6600,S2 2010
AMD A6-5400B,S2 2013
AMD Athlon 5370,S1 2016
Intel Pentium T4400,S2 2011
Intel Core 2 Duo T6600,S1 2009
Intel Pentium G3220T,S1 2014
Intel Core i7-2960XM,S2 2011
Intel Core i3-4160,S1 2014
Intel Xeon E5504,S1 2009
Intel Xeon E3-1240,S1 2017
Intel Core i3-6100,S2 2015
Intel Core i5-3230M,S1 2013
Intel Xeon E3-1245,S1 2017
AMD FX-4300,S2 2012
Intel Core i5-5675C,S1 2015
Intel Core i5-4258U,S1 2013
AMD FX-4330,S2 2015
AMD A6-9210,S1 2016
Intel Core i5-4670S,S1 2013
AMD Athlon 64 X2 4600+,S1 2005
Intel Core i7-7700HQ,S2 2016
Intel Core i5-4670T,S1 2013
Intel Core i5-4210U,S1 2014
Intel Atom Z3795,S1 2014
Intel Core 2 Duo T7500,S2 2008
Intel Core i5-4210H,S1 2014
Intel Core i5-4670K,S1 2013
Intel Core i5-4210M,S1 2014
Intel Core 2 Quad Q9300,S2 2008
AMD Athlon II X2 245,S1 2011
AMD A10-5700,S1 2012
Intel Core i5-760,S1 2017
Intel Core i5-4210Y,S1 2013
AMD Athlon II X2 240,S2 2009
Intel Core i3-4350,S1 2014
AMD Athlon Neo X2 L335,S1 2009
Intel Core i7-5775C,S1 2015
Intel Xeon E5-2603 v3,S1 2015
Intel Xeon E5-1660 v2,S2 2013
Intel Celeron E3400,S1 2010
Intel Core i5-3550,S1 2012
Intel Core i3-2375M,S1 2013
Intel Core i5-2450P,S1 2012
Intel Core i7-4930MX,S1 2013
Intel Xeon E5-2676 v3,S2 2015
Intel Core i7-4770T,S1 2013
Intel Core i7-7820HK,S1 2017
Intel Core i5-2450M,S2 2011
Intel Xeon E5-2630 v3,S2 2014
AMD Athlon 5350,S1 2014
Intel Xeon E5-2630 v2,S1 2013
AMD A4-3300M,S1 2011
Intel Xeon E5-2630 v4,S1 2016
Intel Core i7-4770K,S1 2013
AMD Phenom II X4 980,S1 2011
Intel Core i5-5675R,S1 2016
Intel Core i7-620M,S1 2010
AMD Turion X2 Mobile RM-72,S2 2008
AMD Turion X2 Mobile RM-75,S1 2009
Intel Core i7-7820HQ,S1 2017
Intel Core 2 Quad Q8200,S2 2008
AMD Turion X2 Mobile RM-74,S1 2009
Intel Pentium E5300,S1 2009
Intel Core i5-750,S2 2016
AMD Phenom X4 9500,S1 2009
AMD Athlon II X2 255,S1 2010
AMD Turion X2 Mobile RM-70,S1 2009
Intel Core i7-4770S,S1 2013
AMD Athlon II X2 250,S1 2011
Intel Core i7-4770R,S1 2014
Intel Core i5-5300U,S1 2015
Intel Core i3-4340,S1 2013
Intel Core i3-3250,S1 2013
AMD A8-5500B,S1 2013
AMD V140,S2 2010
Intel Core i5-4670,S1 2013
Intel Pentium G2020T,S1 2013
AMD FX-4350,S1 2013
Intel Pentium P6100,S1 2010
AMD V120,S1 2010
Intel Core i5-4430,S1 2013
Intel Core i5-3340,S2 2013
Intel Core i3-2330M,S1 2011
Intel Core i7-6820HK,S2 2015
Intel Core i5-4430S,S2 2013
AMD A10-7700K,S1 2014
AMD Athlon 64 3200+,S2 2008
Intel Pentium G645T,S1 2012
Intel Core 2 Duo T9900,S1 2009
Intel Core 2 Duo T5300,S1 2007
Intel Celeron 1007U,S1 2013
Intel Core i5-6500T,S2 2015
AMD Athlon II X2 265,S2 2010
Intel Core 2 Duo E6850,S2 2008
Intel Core i5-6300HQ,S2 2015
Intel Xeon L5420,S1 2009
AMD A8-5545M,S1 2013
Intel Core i5-7300HQ,S1 2017
AMD Phenom X4 9750,S1 2008
Intel Core i7-4710MQ,S1 2014
AMD Athlon II X2 260,S1 2010
AMD Athlon X4 760K,S1 2013
AMD A8-7100,S1 2014
Intel Core i3-4130,S1 2013
Intel Core i5-3320M,S1 2012
Intel Core i7-6820HQ,S2 2015
Intel Core i3-4370,S1 2014
Intel Core i5-3570,S1 2012
Intel Core i3-2377M,S1 2012
Intel Core i5-3330,S2 2012
Intel Celeron E1200,S2 2008
Intel Celeron J1900,S1 2014
Intel Core 2 Duo T6400,S1 2009
Intel Core 2 Duo T5550,S2 2008
Intel Core i5-6600,S1 2015
AMD A6-4400M,S1 2012
Intel Core 2 Duo E6600,S2 2006
AMD A4-5000,S1 2013
Intel Xeon E3-1225 v3,S1 2013
Intel Core i3-6300,S2 2015
Intel Celeron 900,S1 2009
AMD Athlon X2 7750 Black Edition,S1 2008
AMD Athlon X4 870K,S1 2016
AMD FX-4100,S2 2011
AMD A6-3420M,S1 2012
Intel Core i3-4360,S1 2014
AMD Athlon II X2 270,S1 2011
Intel Core i5-3210M,S1 2012
Intel Core i7-990X,S1 2011
AMD FX-4130,S2 2012
AMD Phenom II X3 720,S1 2009
AMD Athlon 64 X2 4200+,S1 2005
Intel Pentium B960,S1 2012
Intel Core i5-4690,S1 2014
Intel Core i3-7100T,S1 2017
Intel Core i3-7100U,S2 2016
Intel Core i5-2540M,S2 2010
Intel Xeon E3-1270 v5,S2 2015
Intel Core i7-7800X,S1 2017
Intel Core 2 Quad Q9100,S1 2009
AMD A6-6400K,S1 2013
Intel Pentium 2129Y,S1 2014
Intel Core i7-970,S1 2010
AMD Athlon II X4 610e,S1 2010
Intel Xeon E3-1270 v3,S1 2013
AMD Athlon X2 4850e,S1 2008
Intel Core i7-975,S1 2009
Intel Celeron T3000,S1 2009
AMD A8-5500,S1 2012
AMD A4-4300M,S1 2012
Intel Core i7-7920HQ,S1 2017
Intel Xeon W5590,S1 2009
Intel Pentium B950,S1 2011
Intel Core i5-4440,S1 2013
AMD Phenom X3 8600B,S1 2008
AMD A6-5357M,S2 2013
Intel Core i7-3770T,S1 2012
Intel Core i7-3770S,S1 2012
AMD A4-3320M,S1 2012
Intel Core i5-2430M,S1 2011
Intel Core 2 Duo E8600,S2 2008
Intel Core i5-4308U,S2 2014
AMD Phenom II X3 710,S1 2009
Intel Core i7-3770K,S1 2012
Intel Core i7-640M,S2 2010
Intel Core 2 Duo E6420,S1 2007
Intel Celeron 925,S2 2010
Intel Core i3-8100,S2 2017
Intel Core i7-7Y75,S2 2016
AMD Turion II Mobile M520,S2 2009
AMD FX-6300,S2 2012
Intel Core i7-6600U,S1 2015
Intel Xeon W5580,S1 2009
Intel Pentium B940,S1 2011
AMD Ryzen 3 1300X,S1 2017
AMD Athlon II X3 435,S2 2009
Intel Pentium D 945/950,S2 2006
Intel Core i7-6950X,S1 2016
AMD A8-7650K,S1 2015
Intel Core 2 Duo P9600,S1 2009
Intel Core i5-7500,S2 2016
Intel Core 2 Duo E7500,S1 2009
Intel Core 2 Duo T5900,S1 2009
AMD C-60,S1 2011
AMD Phenom II X6 1055T,S1 2010
AMD E2-7110,S2 2015
Intel Core i5-4460,S1 2014
Intel Xeon E3-1505M v6,S1 2017
Intel Xeon E3-1505M v5,S2 2015
AMD A4-7210,S1 2015
Intel Core i5-6400,S1 2015
Intel Core i7-5775R,S1 2016
Intel Core i7-5557U,S1 2015
Intel Core 2 Quad Q9550,S2 2008
AMD A10-4655M,S1 2012
Intel Core i5-6260U,S2 2015
AMD E2-1800,S1 2012
Intel Core 2 Duo E6400,S1 2009
Intel Core i7-4770HQ,S2 2014
Intel Core i3-390M,S1 2011
AMD Athlon II X3 425,S1 2009
AMD C-70,S2 2012
Intel Core i7-4578U,S1 2014
Intel Xeon E5345,S2 2008
AMD A10-5745M,S1 2013
AMD Athlon II X3 450,S2 2010
AMD FX-4170,S1 2012
AMD A6-7400K,S2 2014
AMD FX-6350,S1 2013
AMD Athlon II X3 455,S2 2010
Intel Xeon E5-1680 v2,S1 2014
Intel Celeron N2840,S2 2014
Intel Core i5-2520M,S1 2011
AMD A6-6420K,S2 2014
AMD Turion II Ultra M620,S1 2010
Intel Core i7-7820X,S1 2017
Intel Celeron 2955U,S2 2013
Intel Xeon E3-1245 v3,S1 2013
Intel Core i7-930,S1 2010
Intel Xeon X5365,S1 2009
Intel Xeon E3-1245 v5,S2 2015
AMD Athlon II X3 440,S1 2010
AMD FX-6100,S2 2011
AMD Phenom II X4 P960,S2 2010
AMD Athlon 64 X2 6400+,S2 2008
AMD Athlon II X3 445,S1 2010
Intel Core i7-5600U,S1 2015
Intel Core 2 Duo E8400,S2 2008
Intel Core 2 Duo P7450,S1 2009
Intel Xeon E7-4830,S1 2011
Intel Celeron N2830,S1 2014
Intel Xeon L3426,S1 2010
Intel Core i5-2410M,S2 2010
Intel Xeon E5320,S1 2009
AMD E2-3800,S1 2014
Intel Core i5-2435M,S2 2011
Intel Core i3-330UM,S1 2010
Intel Core i7-940,S2 2008
Intel Core i7-4750HQ,S1 2013
Intel Core i7-7700,S2 2016
Intel Xeon E3-1230V2,S1 2012
Intel Core i7-5700HQ,S1 2015
Intel Xeon E5-2623 v3,S1 2015
Intel Xeon X5355,S1 2009
Intel Core i3-2312M,S1 2012
AMD FX-8310,S2 2014
Intel Xeon E3-1270,S1 2017
Intel Atom D2550,S1 2012
Intel Core i7-4870HQ,S1 2014
Intel Pentium 4 550/551,S1 2004
Intel Atom 230,S1 2009
Intel Core 2 Duo P9400,S1 2009
Intel Celeron N2820,S1 2014
Intel Atom C2750,S1 2014
AMD Athlon 64 X2 5400+,S2 2008
Intel Core i7-950,S1 2009
Intel Core 2 Duo E7300,S2 2008
Intel Celeron N2815,S1 2014
Intel Core i5-6440HQ,S1 2016
AMD PRO A8-8600B,S2 2015
AMD A8-6410,S1 2014
Intel Core i7-2860QM,S1 2011
AMD Phenom II X6 1075T,S1 2010
Intel Core i5-3437U,S1 2013
Intel Xeon E3-1260L v5,S1 2016
AMD Phenom II X4 910,S1 2010
AMD FX-8300,S1 2013
AMD FX-6120,S1 2012
Intel Core i7-3687U,S1 2013
Intel Xeon E5-2678 v3,S1 2015
Intel Core i5-7260U,S1 2017
Intel Xeon E3-1280,S1 2017
Intel Core i7-965,S2 2008
AMD Opteron 3365,S2 2014
AMD Athlon II X3 460,S1 2011
Intel Celeron N2810,S2 2013
Intel Xeon E5540,S1 2009
Intel Core i7-960,S2 2009
Intel Pentium T4200,S1 2009
Intel Xeon X5570,S1 2009
AMD QC-4000,S1 2015
Intel Celeron N2807,S1 2014
Intel Xeon D-1541,S1 2016
AMD Turion II Mobile M500,S2 2009
Intel Core i7-4510U,S1 2014
AMD Phenom II X4 925,S1 2009
AMD Phenom II X4 920,S1 2009
Intel Core i7-4558U,S1 2013
Intel Core 2 Solo U3500,S1 2009
Intel Xeon E5-2670,S1 2014
AMD Phenom II X4 B40,S1 2010
AMD Phenom II X4 960T,S1 2011
Intel Core i5-6267U,S1 2016
Intel Core i7-3770,S1 2012
Intel Core i5-2500S,S1 2011
Intel Celeron N2910,S2 2013
AMD Athlon X2 340,S1 2013
Intel Core i7-6900K,S1 2016
Intel Xeon X5680,S1 2010
Intel Core i3-4130T,S1 2013
Intel Celeron G3900,S1 2016
AMD Ryzen 5 1600,S1 2017
Intel Celeron 877,S1 2012
AMD Phenom II X2 521,S1 2011
Intel Core i3-6006U,S2 2016
Intel Xeon E5-2420,S1 2014
Intel Core i5-8400,S2 2017
Intel Xeon E5-2660,S2 2016
Intel Xeon W3690,S1 2011
AMD A6-5200,S1 2013
Intel Xeon E5-2665,S1 2012
