AMD Phenom X3 8750B,2008 2 Semester
AMD FX-670K,2014 1 Semester
Intel Pentium G4560T,2017 1 Semester
Intel Pentium G2030T,2013 1 Semester
AMD Phenom II X4 805,2009 1 Semester
Intel Pentium E5500,2010 1 Semester
AMD Athlon 64 X2 5600B,2008 2 Semester
Intel Core i5-2310,2011 1 Semester
Intel Core i5-3475S,2012 1 Semester
AMD Athlon 64 X2 4850B,2008 2 Semester
Intel Core i3-7300,2017 1 Semester
Intel Core i5-3330S,2012 2 Semester
Intel Pentium J2850,2013 2 Semester
AMD A10-7800,2014 1 Semester
Intel Core i3-6098P,2015 2 Semester
Intel Core i3-8350K,2017 2 Semester
Intel Core 2 Quad Q9500,2010 1 Semester
AMD Athlon II X4 651K,2012 1 Semester
AMD Phenom II X4 810,2009 1 Semester
AMD Ryzen Threadripper 1920X,2017 2 Semester
Intel Core i3-4150,2014 1 Semester
Intel Pentium G620T,2011 1 Semester
AMD Athlon X4 740,2012 2 Semester
Intel Celeron J1800,2013 2 Semester
Intel Core i7-4790T,2014 1 Semester
AMD Phenom X3 8750 ,2008 2 Semester
Intel Celeron G540T,2012 1 Semester
Intel Core i7-4790S,2014 1 Semester
Intel Pentium E6700,2010 1 Semester
AMD Athlon II X2 240e ,2009 2 Semester
AMD A10-7850K,2014 1 Semester
Intel Core i7-8700K,2017 2 Semester
AMD A8-6500B,2013 2 Semester
AMD PRO A12-8870,2016 2 Semester
AMD Athlon 5150,2014 1 Semester
AMD Phenom II X3 700e,2009 1 Semester
Intel Core i5-2300,2011 1 Semester
AMD A4-5300,2012 2 Semester
AMD A4-6300,2013 2 Semester
Intel Core 2 Duo E4400,2007 1 Semester
Intel Pentium G3460T,2015 1 Semester
Intel Core i5-3450S,2012 1 Semester
AMD A10-6700,2013 1 Semester
Intel Core i3-6320,2015 2 Semester
AMD Phenom II X4 940,2009 1 Semester
Intel Core 2 Quad Q8400,2009 1 Semester
AMD Phenom II X4 820,2009 2 Semester
AMD Athlon 64 LE-1640 ,2008 1 Semester
Intel Core i7-4790K,2014 1 Semester
Intel Core i7-6785R,2016 1 Semester
AMD Athlon II X2 B26,2010 1 Semester
AMD Ryzen 7 PRO 1700 ,2017 2 Semester
AMD Phenom X3 8850 ,2008 2 Semester
AMD Athlon X4 970,2017 2 Semester
Intel Pentium E5400,2009 1 Semester
AMD Athlon II X2 260 ,2010 1 Semester
AMD Athlon II X4 630 ,2009 2 Semester
AMD Phenom II X2 555 BE ,2010 1 Semester
AMD A4-4000,2013 1 Semester
Intel Core i5-3570S,2012 1 Semester
Intel Core i5-3570T,2012 1 Semester
AMD Athlon II X2 221,2012 1 Semester
Intel Pentium E2140,2007 1 Semester
AMD Athlon II X2 220,2010 1 Semester
Intel Core i5-3340S,2013 2 Semester
Intel Core i3-4170,2015 1 Semester
Intel Core i5-3570K,2012 1 Semester
Intel Core i3-7320,2017 1 Semester
AMD Phenom II X4 905e,2009 1 Semester
AMD Ryzen 5 PRO 1500 ,2017 2 Semester
AMD A8-9600,2016 2 Semester
AMD A6-5400K,2012 2 Semester
AMD Athlon X4 845,2016 1 Semester
Intel Pentium G630T,2011 2 Semester
AMD Athlon II X2 270u,2010 2 Semester
Intel Celeron E1400,2008 1 Semester
AMD Athlon X4 840,2014 2 Semester
Intel Core i5-6600K,2015 2 Semester
Intel Pentium E6600,2010 1 Semester
AMD A10 PRO-7850B,2014 2 Semester
Intel Core i5-6600T,2015 2 Semester
Intel Core i5-2320,2011 2 Semester
Intel Pentium G860T,2012 1 Semester
