Intel Celeron 1005M,2013 1 Semester
Intel Core m3-6Y30,2015 2 Semester
Intel Core i5-4202Y,2013 2 Semester
Intel Celeron 3765U,2015 1 Semester
Intel Core i3-3227U,2013 1 Semester
Intel Celeron 1017U,2013 1 Semester
AMD E1 Micro-6200T,2014 1 Semester
Intel Core i7-4850HQ,2013 1 Semester
Intel Mobile Pentium N5000,2017 2 Semester
Intel Atom Z3590,2015 2 Semester
AMD E1-2100,2013 1 Semester
Intel Core i5-4300U,2013 2 Semester
Intel Core i7-4960HQ,2013 2 Semester
Intel Mobile Celeron N3350,2016 2 Semester
AMD FX-9800P,2016 1 Semester
Intel Core i5-4300M,2013 2 Semester
Intel Core i5-4300Y,2013 2 Semester
AMD A8-7410,2015 1 Semester
AMD A4-PRO 3340B,2014 2 Semester
Intel Core i5-3365M,2012 2 Semester
Intel Atom Z3480,2014 1 Semester
Intel Core i7-6567U,2015 2 Semester
AMD A10-8700P,2015 1 Semester
Intel Core i7-3632QM ,2012 2 Semester
Intel Core i3-3229Y,2013 1 Semester
Intel Core i3-3217U,2012 1 Semester
AMD FX-7600P,2014 1 Semester
Intel Core i7-6920HQ,2015 2 Semester
AMD A9-9410,2016 1 Semester
Intel Core i7-7600U,2017 1 Semester
Intel Core i3-3120M ,2012 2 Semester
AMD PRO A8-9600B,2016 2 Semester
Intel Core i7-5550U,2015 1 Semester
Intel Core i7-6650U,2015 2 Semester
Intel Mobile Celeron N3450,2016 2 Semester
Intel Core m7-6Y75,2015 2 Semester
AMD A12-9700P,2016 1 Semester
Intel Core i5-4302Y,2013 2 Semester
Intel Celeron 3205U,2015 1 Semester
AMD A9-9420,2017 1 Semester
Intel Core M 5Y10,2014 2 Semester
Intel Atom Z2460,2012 1 Semester
Intel Atom Z2580,2013 1 Semester
Intel Core i5-4258U,2013 1 Semester
AMD A6-9210,2016 1 Semester
Intel Core i7-4950HQ,2013 1 Semester
Intel Core i7-4720HQ,2015 1 Semester
Intel Core i7-7700HQ,2017 1 Semester
Intel Core i5-4210U,2014 1 Semester
Intel Atom Z3795,2014 1 Semester
Intel Pentium 3825U,2015 1 Semester
Intel Core i5-4210H,2014 2 Semester
AMD E2-7110 ,2015 1 Semester
Intel Core i5-4210M,2014 1 Semester
Intel Core i5-4210Y,2013 2 Semester
Intel Core i7-6500U,2015 2 Semester
Intel Atom Z3560,2014 1 Semester
Intel Mobile Celeron N4000,2017 2 Semester
Intel Core i3-2375M,2012 1 Semester
Intel Atom Z3680,2013 2 Semester
Intel Mobile Celeron N3150,2015 1 Semester
Intel Core i7-4930MX,2013 1 Semester
Intel Celeron 2981U,2013 2 Semester
Intel Core i7-7820HK,2017 1 Semester
Intel Celeron 3865U,2017 1 Semester
AMD A10-5750M,2013 1 Semester
Intel Celeron 2970M,2014 1 Semester
AMD A4-5100,2013 2 Semester
Intel Core i3-3130M ,2013 1 Semester
Intel Core i7-7820HQ,2017 1 Semester
Intel Core M 5Y10c,2015 1 Semester
Intel Core M 5Y10a,2014 2 Semester
Intel Core i5-5300U,2015 1 Semester
AMD E2-6110,2014 1 Semester
Intel Core i5-3380M ,2013 1 Semester
Intel Core i7-4940MX,2014 1 Semester
Intel Mobile Celeron N3000,2015 1 Semester
Intel Atom Z3570,2014 2 Semester
Intel Core i5-4200U,2013 1 Semester
Intel Core i7-6820HK,2015 2 Semester
Intel Core i5-4200H,2013 2 Semester
Intel Celeron 1019Y,2013 1 Semester
Intel Celeron 3755U,2015 1 Semester
Intel Celeron 2980U,2013 2 Semester
Intel Celeron 1007U,2013 1 Semester
Intel Core i5-4200M,2013 2 Semester
Intel Core i7-3840QM ,2012 2 Semester
AMD A8-5545M,2013 1 Semester
Intel Core i5-6300HQ,2015 2 Semester
AMD A8-5557M,2013 1 Semester
Intel Core i5-7300HQ,2017 1 Semester
Intel Core i7-4710MQ,2014 1 Semester
Intel Core i5-4200Y,2013 1 Semester
AMD A8-7100,2014 1 Semester
Intel Atom Z2480,2012 2 Semester
AMD FX-7500,2014 1 Semester
Intel Core i7-6820HQ,2015 2 Semester
Intel Core i3-2377M,2012 2 Semester
Intel Mobile Celeron N4100,2017 2 Semester
